Name,Awards
A Chandila,1
A Joseph,1
A Kumble,3
A Mishra,11
A Nehra,6
A Singh,1
A Symonds,3
A Zampa,1
AA Jhunjhunwala,1
AB de Villiers,20
AB Dinda,2
AC Gilchrist,7
AC Voges,1
AD Mascarenhas,1
AD Mathews,1
AD Russell,11
AJ Finch,5
AJ Tye,2
AM Rahane,12
AP Tare,1
AR Patel,4
AS Rajpoot,2
AS Yadav,2
AT Rayudu,9
Azhar Mahmood,2
B Kumar,5
B Lee,2
B Stanlake,1
BA Bhatt,1
BA Stokes,3
BB McCullum,5
BCJ Cutting,1
BJ Hodge,6
BW Hilfenhaus,2
CA Lynn,4
CH Gayle,21
CH Morris,2
CJ Anderson,3
CL White,1
CR Brathwaite,1
CRD Fernando,1
DA Miller,3
DA Warner,17
DE Bollinger,2
DJ Bravo,3
DJ Hooda,1
DJ Hussey,2
DJG Sammy,1
DL Chahar,1
DL Vettori,1
DP Nannes,1
DPMD Jayawardene,5
DR Smith,11
DW Steyn,5
EJG Morgan,1
F du Plessis,4
G Gambhir,13
GC Smith,2
GD McGrath,1
GH Vihari,2
GJ Bailey,1
GJ Maxwell,5
H Gurney,1
Harbhajan Singh,8
Harmeet Singh,2
HH Gibbs,1
HH Pandya,6
HM Amla,2
HV Patel,2
I Sharma,2
IK Pathan,2
Imran Tahir,1
Iqbal Abdulla,2
Ishan Kishan,1
J Archer,1
J Bairstow,2
J Botha,1
J Theron,1
JA Morkel,2
JC Buttler,5
JD Ryder,1
JD Unadkat,5
JDP Oram,1
JEC Franklin,1
JH Kallis,10
JJ Bumrah,5
JJ Roy,1
JP Duminy,4
JP Faulkner,5
K Ahmed,1
K Paul,1
K Rabada,1
KA Pollard,10
KC Sangakkara,5
KD Karthik,4
KH Pandya,4
KK Cooper,1
KK Nair,3
KL Rahul,4
KM Jadhav,2
KMDN Kulasekara,1
KP Pietersen,3
KS Williamson,3
Kuldeep Yadav,1
KV Sharma,1
L Balaji,3
L Ngidi,1
LH Ferguson,1
LJ Wright,1
LMP Simmons,3
LR Shukla,1
LRPL Taylor,3
M Kartik,1
M Morkel,2
M Muralitharan,2
M Ntini,2
M Ur Rahman,1
M Vijay,6
M Vohra,3
MA Agarwal,2
MA Starc,1
Mandeep Singh,3
MC Henriques,2
MD Mishra,1
MEK Hussey,12
MF Maharoof,1
MG Johnson,2
MJ Lumb,1
MJ McClenaghan,2
MK Pandey,4
MK Tiwary,3
ML Hayden,4
MM Patel,2
MM Sharma,2
MN Samuels,1
Mohammed Shami,1
Mohammed Siraj,1
MP Stoinis,2
MR Marsh,1
MS Bisla,1
MS Dhoni,17
MS Gony,1
Mustafizur Rahman,1
MV Boucher,2
N Rana,4
NM Coulter-Nile,4
NV Ojha,1
P Kumar,2
P Negi,2
P Parameswaran,1
P Shaw,1
PA Patel,5
PC Valthaty,2
PD Collingwood,1
PP Chawla,3
PP Ojha,1
PV Tambe,2
Q de Kock,1
R Ashwin,2
R Bhatia,1
R Dravid,2
R McLaren,1
R Sharma,2
R Vinay Kumar,3
RA Jadeja,8
RA Tripathi,1
Rashid Khan,7
RE Levi,1
RG Sharma,17
RJ Harris,1
RP Singh,1
RR Pant,6
RS Bopara,1
RV Uthappa,7
S Anirudha,1
S Aravind,1
S Badrinath,1
S Curran,1
S Dhawan,6
S Gill,1
S Gopal,2
S Hetmyer,1
S Nadeem,1
S Sohal,1
S Sreesanth,1
SA Asnodkar,1
SA Yadav,1
Sandeep Sharma,5
SB Jakati,1
SB Wagh,1
SC Ganguly,5
SE Marsh,9
Shakib Al Hasan,2
Shoaib Akhtar,1
SK Raina,14
SK Trivedi,2
SK Warne,4
SL Malinga,6
SM Katich,1
SM Pollock,2
Sohail Tanvir,2
SP Goswami,1
SP Narine,9
SPD Smith,5
SR Tendulkar,8
SR Watson,15
SS Iyer,4
ST Jayasuriya,2
SV Samson,5
SW Billings,1
TA Boult,1
TG Southee,1
TL Suman,1
TM Dilshan,1
Umar Gul,1
UT Yadav,8
V Kohli,12
V Sehwag,11
VR Aaron,2
Washington Sundar,1
WP Saha,3
WPUJC Vaas,1
YK Pathan,16
YS Chahal,1
Yuvraj Singh,5
Z Khan,1
,752
